nom_molecule,classement_1,classement_2,diff_classement
CHEBI_69869.csv,633,566,-67
CHEBI_68293.csv,501,433,-68
CHEBI_80579.csv,603,534,-69
CHEBI_66543.csv,634,565,-69
CHEBI_67309.csv,615,545,-70
CHEBI_59953.csv,635,564,-71
CHEBI_72780.csv,604,532,-72
CHEBI_27375.csv,565,493,-72
CHEBI_35918.csv,291,217,-74
CHEBI_82597.csv,637,563,-74
CHEBI_3794.csv,472,396,-76
CHEBI_65530.csv,563,487,-76
CHEBI_769.csv,605,529,-76
CHEBI_7567.csv,699,622,-77
CHEBI_9985.csv,560,482,-78
CHEBI_8206.csv,606,528,-78
CHEBI_52488.csv,395,314,-81
CHEBI_136888.csv,483,402,-81
CHEBI_136463.csv,561,480,-81
CHEBI_31892.csv,509,427,-82
CHEBI_7510.csv,585,502,-83
CHEBI_53330.csv,562,479,-83
CHEBI_142834.csv,578,495,-83
CHEBI_38055.csv,526,442,-84
CHEBI_136495.csv,484,400,-84
CHEBI_7859.csv,516,431,-85
CHEBI_136405.csv,586,501,-85
CHEBI_52917.csv,312,226,-86
CHEBI_57728.csv,465,379,-86
CHEBI_38520.csv,467,381,-86
CHEBI_136452.csv,469,382,-87
CHEBI_68363.csv,452,365,-87
CHEBI_88049.csv,499,412,-87
CHEBI_136429.csv,724,637,-87
CHEBI_39232.csv,587,499,-88
CHEBI_36144.csv,398,310,-88
CHEBI_60549.csv,311,222,-89
CHEBI_3383.csv,588,498,-90
CHEBI_145195.csv,489,399,-90
CHEBI_7782.csv,552,462,-90
CHEBI_38050.csv,471,380,-91
CHEBI_136459.csv,500,409,-91
CHEBI_2992.csv,455,363,-92
CHEBI_65526.csv,537,445,-92
CHEBI_35644.csv,558,466,-92
CHEBI_38052.csv,557,465,-92
CHEBI_63924.csv,559,467,-92
CHEBI_68931.csv,513,420,-93
CHEBI_70793.csv,553,460,-93
CHEBI_57657.csv,721,626,-95
CHEBI_90241.csv,535,440,-95
CHEBI_68366.csv,417,321,-96
CHEBI_33908.csv,720,624,-96
CHEBI_136449.csv,719,623,-96
CHEBI_228290.csv,323,227,-96
CHEBI_2934.csv,418,322,-96
CHEBI_144371.csv,504,407,-97
CHEBI_39228.csv,554,456,-98
